parameter,prior,config,run_id,mean_rank,is_best,is_baseline
initialization.std_noise,HS,0.01 (baseline),12,1.0,True,True
initialization.strategy,HS,regression (baseline),12,1.0,True,True
integrator.max_steps,HS,2000,4,1.5,True,False
integrator.rtol + integrator.atol,HS,integrator.rtol=1e-07 | integrator.atol=1e-09 (baseline),12,1.0,True,True
integrator.segments,HS,10,0,1.8,True,False
integrator.shooting,HS,multiple (baseline),12,1.0,True,True
library.degree,HS,2 (baseline),12,1.0,True,True
library.include_bias,HS,None (baseline),12,1.0,True,True
library.include_mm,HS,None (baseline),12,1.0,True,True
mcmc.max_treedepth,HS,6 (baseline),12,1.0,True,True
mcmc.num_chains,HS,4 (baseline),12,1.4,True,True
mcmc.num_samples,HS,2000,33,2.1,True,False
mcmc.num_warmup,HS,500,27,2.7,True,False
mcmc.target_accept,HS,0.85 (baseline),12,1.0,True,True
mcmc.thinning,HS,1 (baseline),12,1.0,True,True
observations.noise_fraction,HS,0.1 (baseline),12,1.0,True,True
observations.replicates,HS,2,8,1.5,True,False
selection.hyperparameter,HS,0.95 (baseline),12,1.0,True,True
shooting_scale,HS,0.02 (baseline),12,1.0,True,True
sparse_prior.degree_penalty,HS,0.0,25,1.4,True,False
sparse_prior.slab_scale,HS,1.0 (baseline),12,1.9,True,True
sparse_prior.tau0,HS,0.5,15,2.0,True,False
time.T,HS,30 (baseline),12,1.3,True,True
initialization.std_noise,SS,0.01 (baseline),13,1.0,True,True
initialization.strategy,SS,regression (baseline),13,1.0,True,True
integrator.max_steps,SS,2000,5,1.5,True,False
integrator.rtol + integrator.atol,SS,integrator.rtol=1e-07 | integrator.atol=1e-09 (baseline),13,1.0,True,True
integrator.segments,SS,5 (baseline),13,1.9,True,True
integrator.shooting,SS,multiple (baseline),13,1.0,True,True
library.degree,SS,2 (baseline),13,1.0,True,True
library.include_bias,SS,None (baseline),13,1.0,True,True
library.include_mm,SS,None (baseline),13,1.0,True,True
mcmc.max_treedepth,SS,6 (baseline),13,1.0,True,True
mcmc.num_chains,SS,4 (baseline),13,1.35,True,True
mcmc.num_samples,SS,1000 (baseline),13,1.0,True,True
mcmc.num_warmup,SS,2000 (baseline),13,1.0,True,True
mcmc.target_accept,SS,0.85 (baseline),13,1.0,True,True
mcmc.thinning,SS,1 (baseline),13,1.0,True,True
observations.noise_fraction,SS,0.1 (baseline),13,1.0,True,True
observations.replicates,SS,4 (baseline),13,1.25,True,True
selection.threshold,SS,0.9 (baseline),13,1.0,True,True
shooting_scale,SS,0.02 (baseline),13,1.0,True,True
sparse_prior.degree_penalty,SS,0.0,26,1.2,True,False
sparse_prior.slab_sd,SS,0.5,21,1.15,True,False
sparse_prior.spike_sd,SS,0.1,20,1.6,True,False
sparse_prior.theta_a + sparse_prior.theta_b,SS,sparse_prior.theta_a=1.0 | sparse_prior.theta_b=1.0 (baseline),13,1.45,True,True
sparse_prior.theta_b,SS,1.0 (baseline),13,1.25,True,True
time.T,SS,30 (baseline),13,1.4,True,True
