parameter,prior,config,run_id,mean_rank,is_best,is_baseline
initialization.std_noise,HS,0.01 (baseline),12,1.0,True,True
initialization.std_noise,SS,0.01 (baseline),13,1.0,True,True
initialization.strategy,HS,regression (baseline),12,1.0,True,True
initialization.strategy,SS,regression (baseline),13,1.0,True,True
integrator.max_steps,HS,4000 (baseline),12,1.5,False,True
integrator.max_steps,HS,2000,4,1.5,True,False
integrator.max_steps,SS,4000 (baseline),13,1.5,False,True
integrator.max_steps,SS,2000,5,1.5,True,False
integrator.rtol + integrator.atol,HS,integrator.rtol=1e-07 | integrator.atol=1e-09 (baseline),12,1.0,True,True
integrator.rtol + integrator.atol,SS,integrator.rtol=1e-07 | integrator.atol=1e-09 (baseline),13,1.0,True,True
integrator.segments,HS,5 (baseline),12,2.4,False,True
integrator.segments,HS,10,0,1.8,True,False
integrator.segments,HS,15,2,1.8,False,False
integrator.segments,SS,5 (baseline),13,1.9,True,True
integrator.segments,SS,10,1,2.0,False,False
integrator.segments,SS,15,3,2.1,False,False
integrator.shooting,HS,multiple (baseline),12,1.0,True,True
integrator.shooting,SS,multiple (baseline),13,1.0,True,True
library.degree,HS,2 (baseline),12,1.0,True,True
library.degree,SS,2 (baseline),13,1.0,True,True
library.include_bias,HS,None (baseline),12,1.0,True,True
library.include_bias,SS,None (baseline),13,1.0,True,True
library.include_mm,HS,None (baseline),12,1.0,True,True
library.include_mm,SS,None (baseline),13,1.0,True,True
mcmc.max_treedepth,HS,6 (baseline),12,1.0,True,True
mcmc.max_treedepth,SS,6 (baseline),13,1.0,True,True
mcmc.num_chains,HS,4 (baseline),12,1.4,True,True
mcmc.num_chains,HS,2,6,1.6,False,False
mcmc.num_chains,SS,4 (baseline),13,1.35,True,True
mcmc.num_chains,SS,2,7,1.65,False,False
mcmc.num_samples,HS,1000 (baseline),12,2.6,False,True
mcmc.num_samples,HS,250,31,2.5,False,False
mcmc.num_samples,HS,500,32,2.8,False,False
mcmc.num_samples,HS,2000,33,2.1,True,False
mcmc.num_samples,SS,1000 (baseline),13,1.0,True,True
mcmc.num_warmup,HS,2000 (baseline),12,3.9,False,True
mcmc.num_warmup,HS,500,27,2.7,True,False
mcmc.num_warmup,HS,1000,28,2.8,False,False
mcmc.num_warmup,HS,5000,29,2.9,False,False
mcmc.num_warmup,HS,10000,30,2.7,False,False
mcmc.num_warmup,SS,2000 (baseline),13,1.0,True,True
mcmc.target_accept,HS,0.85 (baseline),12,1.0,True,True
mcmc.target_accept,SS,0.85 (baseline),13,1.0,True,True
mcmc.thinning,HS,1 (baseline),12,1.0,True,True
mcmc.thinning,SS,1 (baseline),13,1.0,True,True
observations.noise_fraction,HS,0.1 (baseline),12,1.0,True,True
observations.noise_fraction,SS,0.1 (baseline),13,1.0,True,True
observations.replicates,HS,4 (baseline),12,1.5,False,True
observations.replicates,HS,2,8,1.5,True,False
observations.replicates,SS,4 (baseline),13,1.25,True,True
observations.replicates,SS,2,9,1.75,False,False
selection.hyperparameter,HS,0.95 (baseline),12,1.0,True,True
selection.threshold,SS,0.9 (baseline),13,1.0,True,True
shooting_scale,HS,0.02 (baseline),12,1.0,True,True
shooting_scale,SS,0.02 (baseline),13,1.0,True,True
sparse_prior.degree_penalty,HS,1.0 (baseline),12,1.6,False,True
sparse_prior.degree_penalty,HS,0.0,25,1.4,True,False
sparse_prior.degree_penalty,SS,1.0 (baseline),13,1.8,False,True
sparse_prior.degree_penalty,SS,0.0,26,1.2,True,False
sparse_prior.slab_scale,HS,1.0 (baseline),12,1.9,True,True
sparse_prior.slab_scale,HS,None,17,1.9,False,False
sparse_prior.slab_scale,HS,5.0,18,2.2,False,False
sparse_prior.slab_sd,SS,1.0 (baseline),13,2.45,False,True
sparse_prior.slab_sd,SS,0.5,21,1.15,True,False
sparse_prior.slab_sd,SS,5.0,22,2.4,False,False
sparse_prior.spike_sd,SS,0.01 (baseline),13,2.0,False,True
sparse_prior.spike_sd,SS,0.001,19,2.4,False,False
sparse_prior.spike_sd,SS,0.1,20,1.6,True,False
sparse_prior.tau0,HS,1.0 (baseline),12,2.8,False,True
sparse_prior.tau0,HS,0.1,14,2.8,False,False
sparse_prior.tau0,HS,0.5,15,2.0,True,False
sparse_prior.tau0,HS,2.0,16,2.4,False,False
sparse_prior.theta_a + sparse_prior.theta_b,SS,sparse_prior.theta_a=1.0 | sparse_prior.theta_b=1.0 (baseline),13,1.45,True,True
sparse_prior.theta_a + sparse_prior.theta_b,SS,sparse_prior.theta_a=0.5 | sparse_prior.theta_b=0.5,24,1.55,False,False
sparse_prior.theta_b,SS,1.0 (baseline),13,1.25,True,True
sparse_prior.theta_b,SS,5.0,23,1.75,False,False
time.T,HS,30 (baseline),12,1.3,True,True
time.T,HS,15,10,1.7,False,False
time.T,SS,30 (baseline),13,1.4,True,True
time.T,SS,15,11,1.6,False,False
